Year,발라드,록/메탈,국내영화,댄스,포크/블루스,성인가요/트로트,국내드라마,랩/힙합,재즈,보컬재즈,R&B/Soul,인디음악,일렉트로니카,기타
1990,35,6,1,2,5,3,0,0,0,0,0,0,0,0
1991,36,3,0,3,4,4,0,0,0,0,0,0,0,0
1992,31,7,0,7,3,2,1,0,0,0,0,0,0,0
1993,21,6,3,12,3,3,4,1,0,0,0,0,0,0
1994,25,11,0,9,2,2,2,1,1,1,0,0,0,0
1995,27,4,1,13,5,0,0,2,0,0,1,0,0,0
1996,28,6,1,13,2,0,0,2,0,0,1,0,0,0
1997,24,6,1,15,0,3,0,1,0,0,0,0,0,0
1998,24,12,0,11,1,1,0,0,0,0,1,0,0,0
1999,17,9,0,16,1,1,0,5,0,0,1,1,0,0
2000,21,10,0,15,0,0,1,3,0,0,5,0,0,0
2001,25,4,0,12,0,0,0,4,0,0,5,1,0,0
2002,28,9,0,7,0,0,2,3,0,0,3,1,0,0
2003,20,7,0,9,0,0,1,6,0,0,11,1,0,0
2004,27,5,0,3,0,0,1,7,0,0,8,0,1,1
2005,23,8,0,6,0,0,3,5,0,0,8,0,0,0
2006,26,5,0,4,0,0,1,3,0,0,12,0,0,0
2007,27,4,1,8,0,0,0,10,0,0,3,0,0,0
2008,18,1,0,18,0,0,2,14,0,0,3,0,0,0
2009,14,2,0,29,0,0,0,2,0,0,3,0,0,0
2010,16,6,0,23,0,0,0,4,0,0,1,1,0,0
2011,17,2,0,26,0,0,0,5,0,0,0,0,0,0
2012,10,8,0,20,1,0,0,9,0,0,2,0,0,0
2013,17,6,0,12,1,0,5,12,0,0,3,0,0,0
2014,20,0,0,13,3,0,5,7,0,0,6,0,2,0
2015,12,3,0,14,2,0,3,14,0,0,6,2,0,0
2016,19,1,0,10,3,0,10,11,0,0,7,4,0,0
2017,15,0,0,14,8,0,6,7,0,0,8,8,0,0
2018,21,2,0,13,1,0,2,6,0,0,6,5,1,0
2019,28,5,0,7,1,0,6,6,0,0,2,4,1,0
2020,19,6,0,11,2,0,12,10,0,0,2,6,0,0
2021,16,6,0,15,1,1,4,8,0,0,3,3,0,0
2022,17,5,0,16,0,1,5,7,0,0,4,1,0,0
